id,text,label,confidence
9079,Estonian,MISC,(0.6223)
9079,Ministry of Education and Research,ORG,(0.9031)
9079,Estonian Science Foundation,ORG,(0.9487)
9079,European Community,ORG,(0.7709)
9079,Seventh Framework Programme,MISC,(0.7979)
9079,Grant Agreement No. 266445,MISC,(0.9362)
9079,Vectors of Change in Oceans and Seas Marine Life,MISC,(0.8464)
9079,Estonian,MISC,(0.9951)
9079,European Regional Fund,ORG,(0.9745)
20410,National Institute of Mental Health,ORG,(0.996)
20410,R01 MH071589 to LP.,ORG,(0.7775)
20410,Japan Society for the Promotion of Science,ORG,(0.9924)
20410,Steven Most,PER,(0.9933)
20410,Brenton McMenamin,PER,(0.9976)
20410,Jong Moon Choi,PER,(0.9954)
22450,US Department of Commerce,ORG,(0.9254)
22450,National Institute of Standards and Technology,ORG,(0.9818)
22450,US NSF,ORG,(0.7738)
22825,Ministry of Science and Technology,ORG,(0.9719)
22825,Taiwan,LOC,(0.9053)
22825,MOST,ORG,(0.6454)
85717,National Natural Science Foundation of China,ORG,(0.9443)
86089,National Natural Sciences Foundation of China,ORG,(0.9284)
86089,China Scholarship Council,ORG,(0.9911)
86089,CSC,ORG,(0.9996)
86089,Grant,MISC,(0.4176)
86089,National Social Science Foundation of China,ORG,(0.9328)
86089,Grant 17BGL072,MISC,(0.7616)
86089,Tianjin 131 Innovative Talent Cultivation Program,MISC,(0.8835)
86393,Grant Numbers U54HL090513,MISC,(0.7171)
86393,National Institutes of Health,ORG,(0.9983)
86393,NIH,ORG,(0.9997)
86393,"National Heart, Lung, and Blood Institute",ORG,(0.9881)
86393,NHLBI,ORG,(1.0)
86393,NIH,ORG,(0.9714)
86393,NHLBI,ORG,(0.9976)
86393,National Institutes of Health Public Access Policy,ORG,(0.868)
86393,Lay Advisory Board,ORG,(0.9536)
102982,Sam McClatchie,PER,(0.9994)
102982,Norbert Rohlf,PER,(0.9902)
102982,CalCOFI,MISC,(0.4682)
102982,North Sea,LOC,(0.6705)
102982,Chris Wilson,PER,(0.9999)
102982,Neal Williamson,PER,(0.9967)
102982,Annette Dogherty,PER,(0.9994)
102982,Gulf of Alaska,LOC,(0.9544)
102982,NSF SEES Research Coordination Network,ORG,(0.8423)
102982,Grant 1140207,MISC,(0.7953)
133198,J. C. A.,PER,(0.9004)
