MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
973 Program,375.0,Fundamental Research Funds for the Central Universities,271.0,NVIDIA Corporation,125.0,National Natural Science Foundation of China (NSFC),13383,X. Li,28.0
863 Program,161.0,Academy of Finland,214.0,Google,121.0,United States-Israel Binational Science Foundation (BSF),2177,H. Zhang,27.0
111 Project,67.0,Institute for Information & Communications Technology Promotion (IITP),138.0,Pfizer,89.0,Fundamental Research Funds for the Central Universities,1979,P. Shi,23.0
Agency for Healthcare Research and Quality (AHRQ),61.0,Norwegian University of Science and Technology (NTNU),115.0,"CSIC Pride (Nanjing) Intelligent Equipment System Co., Ltd.",71.0,National Institutes of Health (NIH),1825,J. Liu,23.0
Foundation for Research Support of the State of Minas Gerais (FAPEMIG),47.0,Chinese Academy of Sciences,113.0,Microsoft Research Inc.,62.0,Natural Science Foundation (NSF),1555,H. Wang,23.0
"Operational Program ""Education and Lifelong Learning",38.0,University of Malaya,109.0,Novartis,56.0,National Research Foundation of Korea (NRF),843,L. Wang,22.0
IEEE International Symposium,35.0,Hong Kong Polytechnic University,106.0,Microsoft Azure Research,50.0,European Regional Development Fund (FEDER),778,Y. Wang,20.0
Fundamental Research Funds for the Central Universities,33.0,Deanship of Scientific Research at King Khalid University,101.0,Roche,48.0,German Research Foundation (DFG),745,Eli Lilly,19.0
NICTA,33.0,University of Hong Kong,100.0,Intel Corporation,47.0,China Postdoctoral Science Foundation,741,L. Shao,19.0
Semiconductor Research Corporation program,33.0,Zhejiang University,88.0,"Merck & Co., Inc",46.0,Natural Science Foundation of Jiangsu Province of China (NSFJPC),697,S. Zafeiriou,16.0
Google Faculty Research Award,32.0,King Khalid University,70.0,Bristol-Myers Squibb,44.0,Ministry of Economy and Competitiveness (Spain) (MINECO),681,Yonglin Cao,16.0
Coordination for the Improvement of Higher Education Personnel (CAPES),27.0,Program for Innovative Research Team in University,70.0,Semiconductor Research Corporation,43.0,National Basic Research Program of China,675,Y. Jin,16.0
Grant-in-Aid for Scientific Research (A),26.0,University of Tokyo,67.0,Oracle,42.0,Brazilian National Council of Technological and Scientific Development (CNPQ),623,L. Chen,16.0
Alzheimer's Association,26.0,University of Caen,66.0,Sandia National Laboratories,39.0,Natural Sciences and Engineering Research Council (NSERC),565,X. Wang,16.0
Investissements d'avenir,26.0,New Century Excellent Talents in University,63.0,Eli Lilly and Company,38.0,National Key Research and Development Project of China,564,X. Yao,16.0
STARnet,25.0,Patient Centered Outcomes Research Institute,62.0,"Genentech, Inc.",38.0,European Research Council (ERC),517,D. Tao,15.0
Air Force Office of Scientific Research (AFOSR),21.0,University of Landau,60.0,GE Healthcare,38.0,Basic Science Research Program,516,Z. Wang,15.0
Mexican National Science and Technology Council (CONACYT),21.0,Wuhan University of Technology,58.0,Biogen,36.0,European Union (EU),477,J. Su,15.0
Alzheimers Disease Neuroimaging Initiative (ADNI),20.0,Carnegie-Mellon University,57.0,Servier,34.0,Japan Society for the Promotion of Science (JSPS) Kakenhi,457,Tobias Mutze,14.0
AbbVie,20.0,Stanford University,57.0,Weather Company (IBM),33.0,European Commission,452,A. Bargiela,14.0
National Institute for Health Research (NIHR),20.0,Tsinghua University Initiative Scientific Research Program,56.0,Lundbeck GmbH,32.0,Engineering and Physical Sciences Research Council (EPSRC),448,Zhang,14.0
Graph Games,20.0,University of Sydney,53.0,Johnson,30.0,Zhejiang Provincial Natural Science Foundation of China,403,S. Tong.,14.0
IEEE INFOCOM 2012,19.0,Xi'an University of Posts and Telecommunications,52.0,Adobe Campaign,28.0,Ministry of Science Technology Taiwan,397,M. Choi,14.0
COMPETE Programme (operational programme for competitiveness,18.0,Southeast University,52.0,Huawei Technologies Co. Ltd.,26.0,Korea Government (MSIT),384,G.-P. Liu,13.0
Oak Ridge Leadership Computing Facility at ORNL,18.0,Deanship of Scientific Research,51.0,Takeda Pharmaceutical Company Limited,26.0,China Scholarship Council,379,D. Yue,13.0
PCORI,18.0,Nanyang Technological University,51.0,"Elan Pharmaceuticals, Inc.",26.0,Ministry of Education,372,J. Cao,13.0
Operational Programme for Competitiveness Factors (COMPETE),17.0,Universiti Teknologi Malaysia,50.0,Eisai,26.0,Agency for Healthcare Research and Quality (AHRQ),368,Y. Li,13.0
Heracleitus II,17.0,National University of Singapore (NUS),50.0,"Meso Scale Diagnostics, LLC.",26.0,Australian Research Council,365,Y. Wang.,13.0
MARCO,17.0,University of Trieste,47.0,NeuroRx Research,26.0,National Science Foundation (NSF),343,S. Tong,13.0
111,17.0,King's College London,46.0,"BioClinica, Inc.",26.0,Coordination for the Improvement of Higher Education Personnel (CAPES),343,Y. Chen,13.0
"program ""Investments for the Future",16.0,Ningbo University,46.0,Fujirebio,23.0,Foundation for Science and Technology (FCT),331,R. Selmic,12.0
Foundation for Research Support of the State of Rio de Janeiro (FAPERJ),15.0,University of Washington,44.0,Neurotrack Technologies,23.0,National Research Foundation of Korea Grant,329,D. Goldgof,12.0
Open Access Publishing,15.0,"University of California, Berkeley (UCB)",43.0,Ericsson,23.0,National High Technology Research and Development Program of China,324,Shin-Akarui-Angou-Benkyou-Kai,12.0
Higher Education Sprout Project,14.0,"Nanyang Technological University, Singapore",42.0,Cisco Systems of Japan,23.0,European Union's Seventh Framework Programme (FP7/2007-2013),297,M. Conti,12.0
NVIDIA,14.0,Aalto University,42.0,"Synopsys, Inc.",22.0,Engineering and Phyiscal Sciences Research Council (ESPRC),293,C. Li,12.0
IARPA,14.0,University of Melbourne,42.0,"UT-Battelle, LLC",22.0,Natural Science Foundation of Shandong Province,274,Y. Tan,12.0
New Investigator Award,13.0,Tsinghua University,41.0,AstraZeneca,22.0,National Key R&D Program of China,271,T. Vasilakos,12.0
WetakeCare: ICT-based Solution for (Self-) Management of Daily Living,13.0,Imperial College London,40.0,"Janssen Alzheimer Immunotherapy Research & Development, LLC",22.0,National Library of Medicine,262,Y. Yang,12.0
PAPD,13.0,Iran University of Medical Sciences,40.0,Amazon Web Services,21.0,Natural Science Foundation of Hubei Province,260,Y. Ho,11.0
Australian Postgraduate Award,13.0,Central University,40.0,Samsung Electronics Co. Ltd,21.0,Beijing Natural Science Foundation (BJNSF),260,Ronald Yager,11.0
United States Air Force Research Laboratory (AFRL),13.0,University of Southern California,39.0,Qualcomm,21.0,European Social Fund (ESF),257,F. Su,11.0
973,13.0,University and Research (MIUR),39.0,EuroImmun,21.0,Specialized Research Fund for the Doctoral Program of Higher Education of China,256,Q. Zhao,11.0
Basic Research Program,13.0,"University of British Columbia, Canada",37.0,"CereSpir, Inc.",20.0,US Defense Advanced Research Project Agency (DARPA),247,B. Zhang,11.0
SRC STARnet Centers,12.0,University Grants Commission (UGC),37.0,Lumosity,20.0,European Union's Horizon 2020 research and innovation program,240,K. Huang,11.0
Cross-Ministry Giga KOREA Project,12.0,King Abdullah University of Science and Technology (KAUST),34.0,IXICO Ltd.,20.0,Russian Foundation for Basic Research (RFBR),234,Z. Li,11.0
RCT,12.0,"Deanship of Scientific Research at King Saud University, Saudi Arabia",34.0,Nokia,20.0,"Ministry of Science, ICT & Future Planning",233,Xiao Qin,11.0
National Fund for Scientific and Technological Development (FONDECYT),11.0,University of Guilan,34.0,Transition Therapeutics,20.0,U.S. National Science Foundation,222,H. Lee,11.0
Tesla K20 GPU,11.0,Fundamental Research Funds of Zhejiang University,32.0,Tek,20.0,Air Force Office of Scientific Research (AFOSR),217,H. Lu,11.0
Labex MS2T,11.0,University of Michigan,32.0,"Cadence Design Systems, Inc",18.0,Ministry of Science and Technology,216,P. R. China,10.0
program Research and Development for Innovation,11.0,Scientific Research Foundation of Graduate School of Southeast University,32.0,Lockheed Martin,18.0,Natural Science and Engineering Council of Canada (NSERC),204,Micha Sharir,10.0
CO-PRIVACY,11.0,Department of Consumer Science,31.0,GlaxoSmithKline,17.0,Program for New Century Excellent Talents,203,R. Mesiar,10.0
Discovery Grant,11.0,Research Committee of University of Macau,31.0,Tata Consultancy Services,15.0,National Cancer Institute,202,R. Karri,10.0
QUAREM,11.0,Chinese University of Hong Kong,31.0,Samsung Heavy Industries,15.0,French National Research Ageny (ANR),201,H. Gao,10.0
Chilean Commission for Scientific and Technological Research (CONICYT),11.0,"University of California, San Diego",30.0,"Nvidia Corporation, USA",15.0,German Ministry for Education and Research (BMBF),193,M. J. Er,10.0
Compute Canada,11.0,Fudan University,30.0,TerraSwarm,15.0,Canadian Institute of Health Research (CIHR),191,M. Celenk,10.0
Program for the High-end Talents of Hubei Province,11.0,University of Minnesota,30.0,Sandia Corporation,14.0,Swiss National Science Foundation,189,S. Hu,10.0
"Projects of Large Infrastructure for Research, Development, and Innovations",10.0,"University of California, Irvine (UCI)",30.0,OpenEye,14.0,Institute for Information & Communications Technology Promotion (IITP),181,R. Eagleson,10.0
Google Research Award,10.0,Massachusetts Institute of Technology (MIT),30.0,Acellera,14.0,Priority Academic Program Development of Jiangsu Higher Education Institutions (PARD),179,L. Fang,10.0
EMRP,10.0,Ghent University,29.0,Amgen Inc.Susanna Mac of,14.0,Spanish Government,173,J. Lu,10.0
JST CREST,10.0,University of Florida,29.0,"Chemical Computing Group,",13.0,Research Foundation of the State of Sao Paulo (FAPESP),172,Lucy Nowell,10.0
Partnership for Advanced Computing in Europe (PRACE),10.0,Fundamental Research Funds for the Central Universities of Hohai University,29.0,ChemAxon,13.0,Scientific and Technological Research Council of Turkey (TUBITAK),171,L. Wu,10.0
IT Consilience Creative Program (ITCCP),10.0,University of South Carolina,29.0,Siemens,12.0,Mexican National Science and Technology Council (CONACYT),165,X. Zhang,10.0
VMD,10.0,K.C.Wong Magna Fund,29.0,CNPq,12.0,Spanish Ministry of Science and Innovation (MICINN),164,Z. Zeng,9.0
VSC (Flemish Supercomputer Center,10.0,University of Porto,28.0,"CureApp, Inc.",12.0,Netherlands Organisation for Scientific Research,163,Robert D.,9.0
NRF,10.0,"University Grants Commission, New Delhi, India",28.0,"National Technology and Engineering Solutions of Sandia, LLC.",12.0,National Center for Advancing Translational Sciences (NCATS),163,Y. Xiang,9.0
Discretization in Geometry and Dynamics,10.0,Soonchunhyang University Research Fund,28.0,"Health Dialog, Inc",12.0,Medical Research Council,161,L. Shao.,9.0
Collaborative Innovation Center of Novel Software Technology and Industrialization,10.0,University of Chicago,28.0,"Huawei Technologies Co., Ltd (China)",12.0,US Army Research Office,159,K. Chakrabarty,9.0
Army Research Laboratory,10.0,University of Malaya Research Grant,28.0,"Honeywell International, Inc.",11.0,Natural Science Foundation of Heilongjiang Province,158,J. Wang,9.0
Faculty Research Award,10.0,University of Edinburgh,28.0,Cogstate,11.0,Office of Naval Research,154,Alan Shih,9.0
European Research Council (ERC),10.0,California Institute of Technology,28.0,Digital India Corporation,11.0,National Science Council of Taiwan,151,Z. Liu,9.0
"CREST, JST",10.0,King Fand University of Petroleum and Minerals,27.0,Philips Research,11.0,U.S. Department of Energy,150,S. Nahavandi,9.0
RENATER,10.0,Harvard University,26.0,Shell,11.0,Natural Science Basic Research Plan in Shaanxi Province of China,150,Xiao Liu,9.0
General Research Fund,10.0,Royal Academy of Engineering,26.0,"Lilly Endowment, Inc.",10.0,National Institute for Health Research (NIHR),146,P. De Wilde,9.0
Ministry of Economy and Competitiveness (Spain) (MINECO),10.0,University of Queensland,26.0,Hewlett Packard,10.0,Austrian Science Fund (FWF),144,H. Qiao,9.0
Gordon and Betty Moore Foundation (GBMF),9.0,Northwestern Polytechnical University,26.0,Facebook,10.0,Swedish Research Council,141,Q. Zhang,9.0
Brazilian National Council of Technological and Scientific Development (CNPQ),9.0,Bialystok University of Technology,26.0,PPMI,10.0,Korea government,140,R. Roberts,9.0
French National Research Ageny (ANR),9.0,University of Bonn,25.0,TransCelerate BioPharma Inc,10.0,Qatar National Research Fund (QNRF),138,Xuemin Lin,9.0
R&D project,9.0,"King Abdulaziz University, Jeddah",25.0,AbbVie,10.0,"Ministry of Education, Science, and Technology",131,D. Wang,9.0
Patient-Centered Cognitive Support,9.0,Institute de Telecomunicacoes,24.0,VMware,9.0,Czech Science Foundation,129,Yasushi Ito,9.0
R&D,9.0,Lawrence Berkeley Laboratory,24.0,Xilinx,9.0,European Union's Seventh Framework Programme,127,Q. Liu,9.0
Japan Society for the Promotion of Science (JSPS) ,9.0,University of Padova,24.0,IBM Research,9.0,ONR,125,S. Fiorini,8.0
PL-Grid Infrastructure,9.0,Universitat Politecnica de Catalunya,24.0,"Hitachi, Ltd.",9.0,U.S. Government,120,S. X. Yang,8.0
KERNEL,9.0,Seoul National University (SNU),24.0,"Samsung Electronics Co., Ltd",9.0,Research Council of Norway,119,H.R. Tiwary,8.0
Operational Programme 'Research and Development for Innovations',9.0,University of Algarve,24.0,EMC,9.0,National Institute of Mental Health (NIMH),119,S.C. Gupta,8.0
JUMP,9.0,National Research University Higher School of Economics in Russia,24.0,Microsoft Research Asia,9.0,National Natural Science Foundation (NNSF),114,Jian Liu,8.0
MCIT,9.0,University College London (UCL),24.0,VeraChem LLC,8.0,"Ministry of Science, ICT and Future Planning, Korea",113,Ying Zhang,8.0
"Mathematical Modeling, Simulation, and Industrial Applications (M2SI)",9.0,Cambridge University,24.0,Piramal,8.0,Russian Scientific Foundation (RSCF),113,Hareth Al-Janabi,8.0
Dagstuhl,9.0,Faculty of Medicine,23.0,Avid Radiopharmaceuticals,8.0,"Research Grant Council of the Hong Kong Administrative Region, China",110,Andrey Bronevich,8.0
NIDILRR,9.0,Oxford University,23.0,Covance,8.0,ITRC (Information Technology Research Center),107,Molly Seshia,8.0
National Research Council of Argentina (CONICET),9.0,"University of California, Davis (UCD)",23.0,Fondazione Cariplo,8.0,Research Grants Council of Hong Kong,107,Peter Drotar,8.0
QREN,9.0,Department of Mathematics,23.0,General Motors Company,8.0,National Science and Technology Major Project of China,106,GunBrit Knutsson,8.0
Six Talent Peaks Project,9.0,Johns Hopkins University,22.0,Jaguar Land Rover PLC,8.0,Guangdong Natural Science Foundation,103,G. Acs,8.0
12th Five-year Plan Period,9.0,Universiti Sains Malaysia,22.0,Teva,8.0,Qatar Foundation),103,Tao Yue,8.0
Prolific Research Group,9.0,Czech Technical University in Prague,22.0,Meso Scale Discovery,8.0,NHS,102,Y. Cao,8.0
BIOCAPS,9.0,University of Zurich,22.0,Mobile Fitness A/S,8.0,"National Heart, Lung, and Blood Institute (NHLBI)",99,Sheng Luo,8.0
Oak Ridge National Laboratory,9.0,University of Tsukuba,22.0,Sanofi-Aventis,7.0,Grant-in-Aid for Scientific Research (B),96,P. Gasti,8.0
INRIA,9.0,Hamburg University of Technology,22.0,Adobe Research,7.0,Federal Ministry of Education and Research (BMBF),95,Klas Moberg,8.0
PRIN,9.0,Innovative Research Team in University of China,22.0,"Seagate, Veritas",7.0,U.S. Army Research Laboratory,93,J. Chen,8.0
