MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
World Bank,151.0,"University of California, Berkeley (UCB)",461.0,World Bank,149.0,National Natural Science Foundation of China (NSFC),5393.0,Jan Wallander,163
LSE,146.0,Stanford University,410.0,Pfizer,69.0,United States-Israel Binational Science Foundation (BSF),1490.0,Andrei Shleifer,115
Investissements d'avenir,105.0,Harvard University,379.0,Novartis,45.0,Ministry of Economy and Competitiveness (Spain) (MINECO),1356.0,Raj Chetty,85
National Bureau of Economic Research (NBER),100.0,Columbia University of New York,371.0,Deutsche Bundesbank,32.0,German Research Foundation (DFG),949.0,Andrew Karolyi,83
IFPRI,80.0,Oxford University,369.0,Google,30.0,Economic and Social Research Council (ESRC),922.0,Sushanta Mallick,83
Board of Governors of the Federal Reserve,78.0,University of Michigan,355.0,Nederlandsche Bank,28.0,Fundamental Research Funds for the Central Universities,803.0,Iftekhar Hasan,80
Federal Reserve System,77.0,Cornell University,339.0,AstraZeneca,28.0,Social Sciences and Humanities Research Council of Canada,752.0,David Card,79
INSEAD,75.0,University of Caen,333.0,Bristol-Myers Squibb,27.0,Japan Society for the Promotion of Science (JSPS) Kakenhi,736.0,Daron Acemoglu,71
US Census Bureau,74.0,New York University (NYU),329.0,Eli Lilly and Company,25.0,European Research Council (ERC),729.0,Larry Katz,69
Basic Research Program,69.0,"University of California, Davis (UCD)",318.0,Amgen Inc.Susanna Mac of,25.0,Natural Science Foundation (NSF),671.0,Jesse Shapiro,67
European Central Bank (ECB),68.0,Academy of Finland,313.0,Norges Bank,23.0,European Commission,592.0,David Laibson,65
"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",67.0,University of Chicago,303.0,GlaxoSmithKline,23.0,National Research Foundation of Korea Grant,515.0,David Harvey,64
RIETI,64.0,Boston University,300.0,Roche,23.0,European Regional Development Fund (FEDER),494.0,Jean Tirole,58
Southern Economic Association,60.0,Princeton University,284.0,RAND Corporation,21.0,Australian Research Council,460.0,Caroline Hoxby,58
OECD,60.0,School of Economics,272.0,Netspar,21.0,European Union (EU),444.0,Hamid Beladi,58
HILDA Project,58.0,Yale University,269.0,Heifer International,17.0,National Social Science Foundation of China,425.0,Stefano DellaVigna,57
Atmospheric and Environmental Research (AER),55.0,Duke University,254.0,Abt Associates Inc,17.0,Foundation for Science and Technology (FCT),372.0,Emmanuel Saez,53
2016 AAEA Annual Meeting,53.0,Cambridge University,251.0,AbbVie,14.0,Ministry of Science Technology Taiwan,369.0,Nathan Nunn,52
2014 China International Conference in Finance,52.0,University of Hong Kong,242.0,Thomson Reuters,14.0,National Institutes of Health (NIH),354.0,Andrew Foster,52
Review of Financial Studies,50.0,Massachusetts Institute of Technology (MIT),238.0,Sanofi Pasteur,13.0,Swiss National Science Foundation,347.0,Oliver Linton,51
Census Bureau,50.0,Fundamental Research Funds for the Central Universities,232.0,"Merck & Co., Inc",13.0,China Postdoctoral Science Foundation,345.0,Carol Alexander,51
USDA Economic Research Service,49.0,North-West University,223.0,"Alliance for Sustainable Energy, LLC",13.0,National Bureau of Economic Research (NBER),318.0,Gordon Hanson,51
NICE,49.0,National University of Singapore (NUS),219.0,Deutsche Bank,13.0,European Union's Seventh Framework Programme (FP7/2007-2013),312.0,Itay Goldstein,49
CEMFI,49.0,London School of Economics,219.0,"Genentech, Inc.",13.0,World Bank,303.0,William Thomson,48
Add Health,48.0,Kobe University,203.0,Bayer Australia Ltd,12.0,United States Agency for International Development (USAID),301.0,Philippe Aghion,48
Operational Programme for Competitiveness Factors (COMPETE),48.0,Michigan State University,201.0,Inco,12.0,European Social Fund (ESF),292.0,Xavier Gabaix,48
CEPR,47.0,University of Tokyo,197.0,"Ministero dell'Istruzione, dell'Universita e della Ricerca",12.0,National Institute of Food and Agriculture,291.0,Torsten Persson,48
Barcelona GSE Summer Forum,47.0,Oregon State University,196.0,Deloitte,12.0,Korea government,289.0,Stephen Morris,48
CREST,46.0,Peking University,195.0,"Osterreichische Nationalbank, Vienna",12.0,Brazilian National Council of Technological and Scientific Development (CNPQ),286.0,Yacine Ait-Sahalia,47
2012 American Accounting Association Annual Meeting,46.0,University of Porto,193.0,Boehringer Ingelheim,11.0,Research Council of Norway,278.0,Travis Lybbert,47
