MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
Add Health,381.0,Academy of Finland,379.0,Pfizer,34.0,National Institutes of Health (NIH),2639.0,Kathleen Mullan Harris,289
ALSPAC,69.0,University of Michigan,349.0,Novartis,20.0,United States-Israel Binational Science Foundation (BSF),1874.0,Richard Udry,158
LSE,54.0,University of North Carolina at Charlotte,234.0,"Merck & Co., Inc",20.0,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),1464.0,Peter S. Bearman,149
HILDA Project,53.0,Columbia University of New York,207.0,Roche,16.0,National Natural Science Foundation of China (NSFC),1454.0,Barbara Entwisle,120
Global Competitiveness Programme,46.0,"University of California, Davis (UCD)",205.0,Inco,15.0,Economic and Social Research Council (ESRC),1380.0,Ronald R. Rindfuss,117
Basic Research Program,43.0,Harvard University,189.0,Biogen,14.0,National Institute of Mental Health (NIMH),1066.0,John D.,72
American Sociological Association,37.0,Oxford University,187.0,Norges Bank,12.0,National Institute on Drug Abuse (NIDA),1022.0,Oliver Linton,60
Center for Research in Econometric Analysis of Time Series (CREATES),37.0,"University of California, Berkeley (UCB)",175.0,GlaxoSmithKline,12.0,Social Sciences and Humanities Research Council of Canada,924.0,Yacine Ait-Sahalia,57
Training Program in Population Studies,35.0,University of Caen,162.0,Bayer Australia Ltd,12.0,German Research Foundation (DFG),799.0,Jan Wallander,57
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),32.0,Institute of Ocean Sciences,160.0,AstraZeneca,12.0,European Research Council (ERC),736.0,Jianqing Fan,56
NRF,31.0,Cambridge University,152.0,Lilly Endowment Inc.,11.0,Australian Research Council,672.0,Catherine T.,47
Fragile Families and Child Wellbeing Study,30.0,Department of Biology,145.0,World Bank,11.0,Canadian Institute of Health Research (CIHR),612.0,Han Hong,44
National Institute for Health Research (NIHR),30.0,University of Chicago,139.0,RAND Corporation,11.0,Natural Science Foundation (NSF),611.0,Peter Phillips,40
UK Health and Safety Executive (HSE),30.0,University of Minnesota,138.0,Ericsson,10.0,Ministry of Economy and Competitiveness (Spain) (MINECO),578.0,William Thomson,33
Womens Interagency HIV Study (WIHS),30.0,Stanford University,137.0,N.E.X.T.,10.0,Wellcome Trust,556.0,Michael Jansson,30
Population Research Center (PRC),29.0,University of Pennsylvania,135.0,Munich Reinsurance Company,10.0,Netherlands Organisation for Scientific Research,454.0,Whitney Newey,30
Investissements d'avenir,28.0,Princeton University,134.0,Bristol-Myers Squibb,9.0,Swiss National Science Foundation,413.0,Miles Ogborn,26
CREATE,27.0,Cornell University,123.0,"UT-Battelle, LLC",9.0,National Institute of Aging,395.0,Xiaohong Chen,26
UK Data Archive,26.0,University of Manchester,123.0,"CSIC Pride (Nanjing) Intelligent Equipment System Co., Ltd.",9.0,National Cancer Institute,370.0,Peter Schmidt,26
General Research Fund,26.0,Yale University,122.0,Baxter Healthcare Corporation,9.0,European Commission,355.0,Victor Chernozhukov,26
Australian Postgraduate Award,26.0,University of Washington,120.0,"Osterreichische Nationalbank, Vienna",9.0,National Institute for Health Research (NIHR),336.0,Naomi Lamoreaux,25
Platform Value Now,24.0,New York University (NYU),120.0,"Westat, Inc.",8.0,Japan Society for the Promotion of Science (JSPS) Kakenhi,317.0,Jan Cieciuch,25
Population Association of American (PAA),24.0,Duke University,119.0,"Implicit, Inc.",8.0,National Institute on Alcohol Abuse and Alcoholism (NIAAA,313.0,Soren Johansen,24
Gender & Society,22.0,University of Trieste,119.0,Accenture,7.0,National Research Foundation of Korea Grant,310.0,Daniel Beland,24
CREST,21.0,University of Malaya,116.0,Google,7.0,Swedish Research Council,270.0,David Akin,23
SOA,20.0,Oregon State University,116.0,Abbvie,7.0,John Templeton Foundation (JTF),265.0,Paul Rhode,22
Social Science History Association,20.0,University of Oslo,116.0,"Spunk Fund, Inc",7.0,European Union's Seventh Framework Programme (FP7/2007-2013),260.0,Eric Ghysels,22
111 Project,19.0,University of Porto,113.0,Facebook,7.0,Department of Health and Human Services,257.0,Phillip Yam,22
Quality of Life,19.0,North-West University,112.0,Intel Labs,7.0,Natural Sciences and Engineering Research Council (NSERC),257.0,Frank Schorfheide,22
Health and Retirement Study (HRS),19.0,University of Wisconsin-Madison,111.0,Wyeth,7.0,European Union (EU),245.0,Jean-Laurent Rosenthal,21
Ontario Graduate Scholarship Program,19.0,University College London (UCL),107.0,"Oesterreichische Nationalbank (Oesterreichische Nationalbank, Anniversary Fund",7.0,Social Science and Humanities Research Council (SHHRC),240.0,Jerome Detemple,21
2010 Econometric Society World Congress,19.0,"University of California, Los Angeles (UCLA)",106.0,Shire Pharmaceuticals,7.0,Medical Research Council,238.0,Andres Santos,20
NIGMS,18.0,National Research University Higher School of Economics in Russia,97.0,Gilead,7.0,U.S. Department of Education,236.0,Neil Shephard,20
NDACAN,17.0,University of Bonn,93.0,ZonMw,6.0,German Ministry for Education and Research (BMBF),227.0,Eric Renault,20
COMPARE,17.0,University of Texas at Austin,93.0,ViiV Healthcare,6.0,Fundamental Research Funds for the Central Universities,219.0,Stephane Bonhomme,20
Experiment 2,17.0,University of Hong Kong,91.0,Microsoft Azure Research,6.0,National Institute of Allergy and Infectious Diseases,215.0,Bent Nielsen,20
American Anthropological Association,17.0,Department of Economics,91.0,Mitochondriale Erkrankung Diagnosegruppe,6.0,European Regional Development Fund (FEDER),210.0,Jo Reger,20
Overcoming Vulnerability: Life Course Perspectives,17.0,University of Edinburgh,88.0,Shell,6.0,Leverhulme Trust,200.0,Ann Carlos,20
Economic History Society Annual Conference,16.0,King's College London,87.0,Lockheed Martin,6.0,National Center for Advancing Translational Sciences (NCATS),194.0,Atsushi Kajii,19
Social Policy & Administration,16.0,National University of Singapore (NUS),85.0,"Lilly Endowment, Inc.",6.0,Research Council of Norway,193.0,Bryan Graham,18
Discovery Early Career Researcher Award,16.0,Lancaster University,84.0,Alony-Hetz Ltd,6.0,NHS,193.0,Nour Meddahi,18
2013 Asian Meeting of Econometric Society,16.0,University of Melbourne,84.0,"Community Solutions, Inc.",6.0,Korea government,184.0,Bruce Hansen,18
PRIN,16.0,Boston University,84.0,Finding Workable Solutions Inc,6.0,Foundation for Science and Technology (FCT),181.0,Eli Lilly,18
Project D1 (Mathematical Methods in Financial Risk Management,16.0,University of Tehran,83.0,ATN,6.0,Bill and Melinda Gates Foundation,177.0,Arthur Lewbel,18
Australian Research Council,16.0,University of Tokyo,82.0,ING Bank,6.0,National Science Foundation Graduate Research Fellowship,175.0,Catherine T. MacArthur Foundation,18
SHARE Wave 2,15.0,University of South Carolina,82.0,CSL Behring,5.0,Centers for Disease Control and Prevention,167.0,Shakeeb Khan,18
Ontario Graduate Scholarship,15.0,University of Kansas,80.0,Coca-Cola Company,5.0,Canadian Institute for Health Research (CIHR),164.0,Philippe Aghion,18
HS&DR programme,15.0,University of Valencia,78.0,Boehringer Ingelheim,5.0,Netherlands Organisation for Health Research and Development (ZonMW),163.0,Joya Misra,18
ONS,15.0,Chinese University of Hong Kong,76.0,Editage,5.0,"Swedish Research Council for Health, Working Life and Welfare",161.0,Frank Diebold,18
American Sociological Association Annual Meeting,15.0,Brown University UTRA,76.0,"Saint Francis Community Services, Inc",5.0,Robert Wood Johnson Foundation (RWJF),160.0,Jushan Bai,18
"Operational Program ""Education and Lifelong Learning",15.0,University of Landau,76.0,Bayer HealthCare Pharmaceuticals,5.0,United States Agency for International Development (USAID),159.0,Herman van Dijk,18
New Investigator Award,15.0,Melbourne Institute,75.0,Fondazione Flaminia,5.0,Brazilian National Council of Technological and Scientific Development (CNPQ),158.0,Jaime Reis,17
Economic History Association,15.0,"University of British Columbia, Canada",74.0,Philips Respironics,5.0,European Social Fund (ESF),152.0,Adrian Pagan,17
SAMHSA,15.0,London School of Economics,71.0,Telecom Italia Mobile,5.0,National Health and Medical Research Council,150.0,Brian Powell,17
CSSH,15.0,University of Sussex,71.0,"TEPHINET, Inc.",5.0,European Union's Horizon 2020 research and innovation program,142.0,Leandro Prados de la Escosura,17
NHMRC,15.0,The Pennsylvania State University,69.0,"Hologic, Inc",5.0,Ministry of Science Technology Taiwan,141.0,Thierry Magnac,17
National Educational Panel Study (NEPS),15.0,University of Southern California,68.0,Maw,5.0,Norwegian Research Council,139.0,Alexandra Killewald,17
MATLAB,15.0,Hong Kong Polytechnic University,68.0,Network Rail,5.0,United Kingdoms Arts and Humanities Research Council (AHRC),137.0,Peter Bearman,17
"The New Biology: Implications for Philosophy, Theology, and Education",14.0,Ghent University,67.0,St. Jude Children's Research Hospital,5.0,Portuguese Foundation for Science and Technology (FCT),136.0,Peter Robinson,17
2016 Annual Meeting of the Population Association of America,14.0,Michigan State University,66.0,Amgen Inc.Susanna Mac of,5.0,Canada Research Chairs Program,134.0,Ruodu Wang,16
Grant-in-Aid for Scientific Research (A),14.0,Fundamental Research Funds for the Central Universities,65.0,Amazon Web Services,4.0,"National Science Centre, Poland",133.0,Lauren J. Breen,16
BLS,14.0,University of Zurich,65.0,GE Healthcare,4.0,French National Research Ageny (ANR),130.0,Viviana Zelizer,16
Canadian Institute of Health Research (CIHR),14.0,School of Social Work,63.0,Lastel Shin-Yokohama,4.0,National Social Science Foundation of China,128.0,Marcus Duwell,16
NIMHD,14.0,Melbourne Institute of Applied Economic and Social Research (Melbourne Institute,63.0,Hope Forward,4.0,Social Sciences and Humanities Research Council (SSHRC),123.0,Enrique Sentana,16
Volkswagen-Stiftung,14.0,University of Groningen,62.0,Intesa Sanpaolo Innovation Center,4.0,British Academy,120.0,Jonathan Wright,16
CAE 2013,14.0,University of Florida,61.0,Murdoch,4.0,National Institute on Minority Health and Health Disparities,118.0,Marcel Nutz,16
US Census Bureau,14.0,University of Glasgow,61.0,Novicare,4.0,Ford Foundation,117.0,David Smilde,16
NHS,13.0,University of Sydney,60.0,Deutsche Bundesbank,4.0,Eunice Kennedy Shriver National Institute of Child Health and Human Development of the National Institutes of Health,115.0,Timothy Guinnane,16
Annual Meeting of the American Sociological Association,13.0,"University of California, San Diego",59.0,"Templeton World Charity Foundation, Inc.",4.0,U.S. Department of Justice,112.0,Robert H. Remien,16
Industry Advisory Board (IAB),13.0,La Trobe University,59.0,Manulife Financial,4.0,Research Foundation – Flanders (FWO),109.0,Robert Remien,16
CEMFI,13.0,Purdue University,57.0,World Vision International,4.0,United Kingdom Department for International Development (DFID),107.0,James Fenske,16
NIOSH,13.0,Norwegian University of Science and Technology (NTNU),57.0,Stata,4.0,Czech Science Foundation,107.0,Ran Abramitzky,16
Ontario HIV Treatment Network (OHTN),13.0,Landau University,57.0,Triple P International,4.0,Spencer Foundation,106.0,Serena Ng,16
Optimus Study,13.0,University of Victoria,56.0,Shire Development LLC,4.0,Spanish Ministry of Science and Innovation (MICINN),103.0,Daron Acemoglu,15
NIAAA,13.0,Peking University,55.0,Liberty Mutual Insurance,4.0,Engineering and Physical Sciences Research Council (EPSRC),103.0,Yu Xie,15
Longitudinal Study of Australian Children,13.0,Vanderbilt University,54.0,Fundacion Bancaja e Ivie,4.0,Agency for Healthcare Research and Quality (AHRQ),102.0,Rachel Cooper,15
Sociology of Health & Illness,12.0,Arizona State University,54.0,Lyra Taylor Fund,4.0,Danish National Research Foundation,101.0,Luc Bauwens,15
South European Society and Politics,12.0,Monash University,53.0,Deutsche Bank,4.0,Australian Government Research Training Program Scholarship,100.0,Christopher Hulleman,15
SSCR,12.0,Pusan National University,53.0,Harris Interactive,4.0,National Institute of Justice (NIJ),97.0,Cheng Hsiao,15
7th Annual SoFiE Conference,12.0,McGill University,53.0,"Exponent, Inc.",4.0,American Cancer Society,97.0,Jason Beckfield,15
Theory and Society,12.0,Georgetown University,53.0,Rockefeller Archive Center,4.0,Australian Government (AG),97.0,Asim Khwaja,15
Social Sciences and Humanities Research Council (SSHRC),12.0,University of Nottingham,52.0,Unilever,4.0,European Union's Seventh Framework Programme,96.0,Claudia Goldin,15
UNU-WIDER,12.0,University of Guilan,52.0,Janssen Pharmaceutical Companies,4.0,Coordination for the Improvement of Higher Education Personnel (CAPES),94.0,Viktor Todorov,15
HILDA,12.0,Kobe University,52.0,Safety-Kleen Corporation,4.0,Australian Research Council Discovery,94.0,Gordon Hanson,15
MIDUS,12.0,Cardiff University,52.0,Partners Occupational Health Services,4.0,Australian Research Council Linkage,93.0,Danny Osborne,14
ENDCARE,12.0,University of Pittsburgh,52.0,"NovoNordisk, Biotest",4.0,Australian Government Department of Social Services,91.0,Peter C.B. Phillips,14
MIAESR,12.0,UCLA School of Public Health,51.0,Global Networks,4.0,"Ministry of Education, Republic of Korea",90.0,Andrew Harvey,14
