FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
National Natural Science Foundation of China,9667,973 Program),187.0,Academy of Finland,213.0,NVIDIA Corporation,98.0,X. Li,28.0
National Science Foundation,1770,973 Program,150.0,Fundamental Research Funds for the Central Universities,154.0,Google,91.0,H. Zhang,27.0
Fundamental Research Funds for the Central Universities,1577,863 Program,108.0,Deanship of Scientific Research at King Saud University,98.0,Intel,71.0,J.,25.0
NSF,1526,111 Project,64.0,Chinese Academy of Sciences,97.0,Microsoft Research,62.0,J. Liu,23.0
National Institutes of Health,926,FAPEMIG,47.0,Hong Kong Polytechnic University,89.0,Microsoft,49.0,P. Shi,23.0
NSFC,791,AHRQ,46.0,City University of Hong Kong,74.0,Pfizer,43.0,H. Wang,23.0
National Research Foundation of Korea (NRF),761,863 Program),38.0,King Saud University,70.0,Semiconductor Research Corporation,42.0,Drs.,22.0
National Science Foundation of China,705,973 program,36.0,University of Malaya,70.0,Intel Corporation,40.0,L. Wang,22.0
Natural Science Foundation of China,679,NICTA,33.0,Innovative Research Team in University,61.0,Eli Lilly and Company,38.0,T.,21.0
NIH,621,"Operational Program ""Education and Lifelong Learning",32.0,Zhejiang University,57.0,GE Healthcare,35.0,Y. Wang,20.0
China Postdoctoral Science Foundation,573,Google Faculty Research Award,29.0,Tsinghua University Initiative Scientific Research Program,56.0,IBM,33.0,L. Shao,19.0
National Key Research and Development Program of China,510,Fundamental Research Funds for the Central Universities,28.0,Carnegie Mellon University,52.0,Sandia National Laboratories,33.0,Eli Lilly,19.0
Basic Science Research Program,508,CAPES,27.0,King's College London,46.0,Lundbeck,32.0,Li,18.0
National Basic Research Program of China,485,Semiconductor Research Corporation program,27.0,National University of Singapore,44.0,Oracle,30.0,X. Wang,16.0
European Commission,447,STARnet,25.0,University of Tokyo,44.0,"Merck & Co., Inc.",29.0,L. Chen,16.0
EPSRC,442,IEEE International Symposium,24.0,IITP (Institute for Information & communications Technology Promotion,44.0,Novartis Pharmaceuticals Corporation,28.0,Y. Jin,16.0
CNPq,436,Alzheimer's Association,24.0,Deanship of Scientific Research,44.0,Adobe,28.0,S. Zafeiriou,16.0
National Natural Science Foundation of China (NSFC),404,AFOSR,21.0,Nanyang Technological University,43.0,Takeda Pharmaceutical Company,26.0,X. Yao,16.0
European Union,370,ADNI,20.0,University of Southern California,39.0,NVIDIA,26.0,Yonglin Cao,16.0
Ministry of Education,362,AbbVie,20.0,Stanford University,38.0,Bristol-Myers Squibb Company,26.0,D. Tao,15.0
Australian Research Council,361,Graph Games,20.0,Southeast University,38.0,NeuroRx Research,26.0,J. Su,15.0
China Scholarship Council,345,NIHR,20.0,University of Washington,38.0,"Elan Pharmaceuticals, Inc.",24.0,Z. Wang,15.0
National Nature Science Foundation of China,343,PCORI,18.0,University of British Columbia,37.0,"Genentech, Inc.",24.0,M. Choi,14.0
Natural Sciences and Engineering Research Council of Canada,314,Heracleitus II,17.0,University of Melbourne,36.0,Biogen,24.0,A. Bargiela,14.0
JSPS KAKENHI,306,CONACYT,17.0,University of Macau,36.0,Fujirebio,23.0,S. Tong.,14.0
Natural Science Foundation of Jiangsu Province,285,MARCO,17.0,New Century Excellent Talents in University,36.0,Neurotrack Technologies,23.0,Zhang,14.0
National Research Foundation of Korea,280,111,17.0,Imperial College London,36.0,"Janssen Alzheimer Immunotherapy Research & Development, LLC.",22.0,Tobias Mutze,14.0
European Research Council,278,COMPETE,17.0,Central South University,36.0,"Meso Scale Diagnostics, LLC.",21.0,S. Tong,13.0
Spanish Ministry of Economy and Competitiveness,265,COMPETE Programme (operational programme for competitiveness,16.0,Department of Computer Science,31.0,EuroImmun,21.0,Y. Chen,13.0
National Key R&D Program of China,254,Oak Ridge Leadership Computing Facility,16.0,University of Sydney,30.0,"Araclon Biotech; BioClinica, Inc.",21.0,C.,13.0
German Research Foundation (DFG),247,863 program,15.0,Tsinghua University,29.0,Samsung Electronics,21.0,Y. Wang.,13.0
Agency for Healthcare Research and Quality,235,Open Access Publishing,15.0,Fundamental Research Funds for the Central University,29.0,Transition Therapeutics,20.0,D. Yue,13.0
"Ministry of Science and Technology, Taiwan",235,FAPERJ,15.0,University of Toronto,28.0,Piramal Imaging; Servier,20.0,Y. Li,13.0
Beijing Natural Science Foundation,233,Investissements d'Avenir,15.0,Fundamental Research Funds of Shandong University,28.0,Lumosity,20.0,M.,13.0
National Library of Medicine,231,Agency for Healthcare Research and Quality,15.0,Soonchunhyang University Research Fund,28.0,Pfizer Inc.,20.0,G.-P. Liu,13.0
Zhejiang Provincial Natural Science Foundation of China,219,Higher Education Sprout Project,14.0,Ningbo University,28.0,"CereSpir, Inc.",18.0,J. Cao,13.0
CAPES,218,IARPA,14.0,Beihang University,28.0,AstraZeneca,18.0,Y. Tan,12.0
U.S. National Science Foundation,217,PAPD,13.0,University of Bristol,28.0,Huawei,18.0,T. Vasilakos,12.0
NSERC,200,Grant-in-Aid for Scientific Research (C),13.0,University of Minnesota,27.0,Bristol-Myers Squibb,18.0,Shin-Akarui-Angou-Benkyou-Kai,12.0
Program for New Century Excellent Talents,200,973,13.0,Ghent University,27.0,Johnson & Johnson Pharmaceutical Research & Development LLC.,18.0,K.,12.0
Fundamental Research Funds for the Central Universities of China,196,NVIDIA,13.0,Chinese University of Hong Kong,27.0,Hoffmann-La Roche Ltd,18.0,D. Goldgof,12.0
Russian Foundation for Basic Research,195,"program ""Investments for the future",13.0,Patient-Centered Outcomes Research Institute (PCORI),27.0,Eisai Inc.,18.0,C. Li,12.0
European Regional Development Fund,193,SRC STARnet Centers,12.0,"Nanyang Technological University, Singapore",27.0,Ericsson,17.0,B.,12.0
US National Science Foundation,191,RCT,12.0,"Deanship of Scientific Research at King Saud University, Riyadh, Saudi Arabia",27.0,IXICO Ltd.,16.0,Y. Yang,12.0
National Science Foundation (NSF),187,AFRL,12.0,Fundamental Research Funds for the Central Universities of China,27.0,Samsung,15.0,M. Conti,12.0
DFG,184,Cross-Ministry Giga KOREA Project,12.0,University of Edinburgh,26.0,"UT-Battelle, LLC",14.0,R. Selmic,12.0
National Cancer Institute,184,Program for the High-end Talents of Hubei Province,11.0,Universiti Teknologi Malaysia (UTM),26.0,Sandia Corporation,14.0,Xiao Qin,11.0
DARPA,180,Labex MS2T,11.0,Harvard University,26.0,Lockheed Martin Corporation,13.0,B. Zhang,11.0
Swiss National Science Foundation,177,Grant-in-Aid for Scientific Research (B),11.0,King Abdullah University of Science and Technology (KAUST),25.0,Cisco Systems,13.0,Z. Li,11.0
FEDER,175,New Investigator Award,11.0,University of Michigan,24.0,ChemAxon,13.0,Q. Zhao,11.0
Natural Sciences and Engineering Research Council of Canada (NSERC),175,CONICYT,11.0,Lawrence Berkeley National Laboratory,24.0,"Synopsys, Inc.",13.0,Y. Ho,11.0
European Social Fund,172,FONDECYT,11.0,"King Abdulaziz University, Jeddah",24.0,Novartis,12.0,H. Lu,11.0
National High Technology Research and Development Program of China,169,CO-PRIVACY,11.0,Scientific Research Foundation of Graduate School of Southeast University,24.0,GlaxoSmithKline,12.0,K. Huang,11.0
Korea government (MSIP),163,Tesla K40 GPU,11.0,Royal Academy of Engineering,24.0,Nokia,12.0,F. Su,11.0
Spanish Government,154,Compute Canada,11.0,Faculty of Medicine,23.0,Nvidia,11.0,H. Lee,11.0
FCT,143,QUAREM,11.0,Northwestern Polytechnical University,23.0,CNPq,11.0,Ronald Yager,11.0
ERC,138,"CREST, JST",10.0,University of Padova,23.0,Philips Research,11.0,S. Hu,10.0
Ministry of Science and Technology,136,Discretization in Geometry and Dynamics,10.0,Seoul National University,23.0,Digital India Corporation,11.0,J. Lu,10.0
European Regional Development Fund (ERDF),135,PRACE,10.0,University of Maryland,23.0,Chemical Computing Group,11.0,R. Karri,10.0
Austrian Science Fund (FWF),134,RENATER,10.0,University of Cambridge,23.0,Cogstate,11.0,L. Wu,10.0
Israel Science Foundation,133,Army Research Laboratory,10.0,Nanjing University of Posts and Telecommunications,22.0,Tata Consultancy Services,11.0,P.,10.0
FAPESP,131,ERC,10.0,Wong Magna Fund,22.0,TerraSwarm,11.0,X. Zhang,10.0
National Institutes of Health (NIH),130,NRF,10.0,University of Hong Kong,22.0,Genentech,10.0,Lucy Nowell,10.0
Czech Science Foundation,129,"Projects of Large Infrastructure for Research, Development, and Innovations",10.0,Czech Technical University in Prague,22.0,TransCelerate BioPharma Inc,10.0,R. Mesiar,10.0
Office of Naval Research,126,EMRP,10.0,University of China,21.0,Health Dialog,10.0,L. Fang,10.0
Ministry of Science and Technology of Taiwan,126,VMD,10.0,University of Zurich,21.0,PPMI,10.0,H. Gao,10.0
