FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
National Science Foundation,1668.0,Add Health,277.0,Academy of Finland,374.0,Pfizer,23.0,Kathleen Mullan Harris,289
National Institutes of Health,1639.0,Add Health website,104.0,University of Michigan,329.0,Merck,14.0,Richard Udry,158
National Natural Science Foundation of China,1003.0,ALSPAC,69.0,University of North Carolina at Chapel Hill,215.0,Novartis,14.0,Peter S. Bearman,149
National Institute of Mental Health,724.0,LSE,54.0,Columbia University,151.0,Roche,11.0,Barbara Entwisle,120
Economic and Social Research Council,690.0,HILDA Project,53.0,Institute of Education Sciences,150.0,Bayer,11.0,Ronald R. Rindfuss,117
Social Sciences and Humanities Research Council of Canada,684.0,Global Competitiveness Program,46.0,Harvard University,148.0,RAND Corporation,11.0,John D.,72
Australian Research Council,659.0,Basic Research Program,37.0,Department of Sociology,136.0,GlaxoSmithKline,11.0,Oliver Linton,60
National Institute on Drug Abuse,645.0,Training Program in Population Studies,35.0,University of Chicago,136.0,Ericsson,10.0,Yacine Ait-Sahalia,57
NIH,643.0,NICHD,32.0,University of Pennsylvania,132.0,N.E.X.T.,10.0,Jan Wallander,57
Eunice Kennedy Shriver National Institute of Child Health and Human Development,619.0,NRF,31.0,University of California,114.0,Munich Reinsurance Company,10.0,Jianqing Fan,56
NSF,609.0,WIHS,30.0,University of Toronto,110.0,Lilly Endowment Inc.,10.0,Catherine T.,47
Wellcome Trust,534.0,NIHR,30.0,University of Washington,110.0,Norges Bank,10.0,Han Hong,44
European Research Council,485.0,HSE,30.0,University of Minnesota,109.0,"UT-Battelle, LLC",9.0,Li,43
Canadian Institutes of Health Research,461.0,Population Research Center,29.0,Northwestern University,109.0,AstraZeneca,9.0,Peter Phillips,40
Swiss National Science Foundation,365.0,American Sociological Association,29.0,Princeton University,96.0,Baxter,9.0,Drs.,38
National Cancer Institute,355.0,UK Data Archive,24.0,Cornell University,95.0,World Bank,9.0,William Thomson,33
European Commission,351.0,Platform Value Now,24.0,University of Wisconsin-Madison,94.0,Bristol-Myers Squibb,9.0,Michael Jansson,30
National Institute on Aging,344.0,General Research Fund,24.0,University of Oxford,94.0,Accenture,7.0,Whitney Newey,30
ESRC,343.0,Australian Postgraduate Award,23.0,Duke University,93.0,Biogen Idec,7.0,Wang,27
National Institute of Child Health and Human Development,293.0,Gender & Society,22.0,Stanford University,92.0,"Implicit, Inc.",7.0,Peter Schmidt,26
Spanish Ministry of Economy and Competitiveness,260.0,CREST,21.0,University of Bristol,89.0,Biogen,7.0,Victor Chernozhukov,26
John Templeton Foundation,242.0,SOA,20.0,Yale University,85.0,Intel Labs,7.0,Miles Ogborn,26
Swedish Research Council,241.0,Center for Research in Econometric Analysis of Time Series,20.0,University of Maryland,83.0,Oesterreichische Nationalbank,7.0,Xiaohong Chen,26
NIHR,234.0,Quality of Life,19.0,University of Edinburgh,83.0,Facebook,6.0,Jan Cieciuch,25
German Research Foundation (DFG),220.0,111 Project,19.0,National University of Singapore,82.0,Abbvie,6.0,Naomi Lamoreaux,25
European Union,211.0,CREATES,18.0,"University of California, Berkeley",80.0,ViiV Healthcare,6.0,Zhang,24
Leverhulme Trust,200.0,Fragile Families and Child Wellbeing Study,18.0,University of Manchester,80.0,ING Bank,6.0,Soren Johansen,24
National Institute on Alcohol Abuse and Alcoholism,197.0,NIGMS,18.0,University of Texas,78.0,CSI,6.0,Daniel Beland,24
U.S. Department of Education,196.0,Investissements d'Avenir,17.0,Department of Economics,76.0,IMS Health Incorporated,6.0,David Akin,23
NHS,193.0,NDACAN,17.0,Melbourne Institute,75.0,"Community Solutions, Inc.",6.0,Paul Rhode,22
Research Council of Norway,187.0,COMPARE,17.0,Brown University,74.0,Shire Pharmaceuticals,6.0,Eric Ghysels,22
German Research Foundation,179.0,Population Association of America,17.0,University of Cambridge,74.0,Lockheed Martin Corporation,6.0,Frank Schorfheide,22
Natural Sciences and Engineering Research Council of Canada,178.0,Social Policy & Administration,16.0,University of Melbourne,73.0,Microsoft,6.0,Phillip Yam,22
Deutsche Forschungsgemeinschaft,171.0,PRIN,16.0,University of Texas at Austin,73.0,"Lilly Endowment, Inc.",6.0,Su,22
National Research Foundation of Korea,168.0,ONS,15.0,King's College London,72.0,Mitochondriale Erkrankung Diagnosegruppe,6.0,Peng,22
U.S. Department of Health and Human Services,163.0,NHMRC,15.0,UCLA,71.0,Alony-Hetz Ltd,6.0,Jean-Laurent Rosenthal,21
Fundamental Research Funds for the Central Universities,159.0,CSSH,15.0,University College London,71.0,ZonMw,6.0,Jerome Detemple,21
Korean Government,159.0,NEPS,15.0,London School of Economics,70.0,Finding Workable Solutions Inc,6.0,Eric Renault,20
National Institutes of Health (NIH),158.0,MATLAB,15.0,Pennsylvania State University,69.0,"Spunk Fund, Inc",5.0,Bent Nielsen,20
NIDA,152.0,Ontario Graduate Scholarship,15.0,University of British Columbia,69.0,Coca-Cola Company,5.0,Ann Carlos,20
Robert Wood Johnson Foundation,148.0,SAMHSA,15.0,Chinese University of Hong Kong,69.0,Editage,5.0,Stephane Bonhomme,20
JSPS KAKENHI,144.0,BLS,14.0,New York University,67.0,Philips Respironics,5.0,Andres Santos,20
NICHD,143.0,New Investigator Award,14.0,University of Zurich,65.0,Boehringer Ingelheim,5.0,Jo Reger,20
NIMH,143.0,Project D1 (Mathematical Methods in Financial Risk Management,14.0,Ghent University,63.0,Bayer HealthCare,5.0,Neil Shephard,20
National Research Foundation of Korea Grant,142.0,CIHR,14.0,University of Copenhagen,63.0,CSL Behring,5.0,Atsushi Kajii,19
National Center for Advancing Translational Sciences,139.0,"The New Biology: Implications for Philosophy, Theology, and Education",14.0,Melbourne Institute of Applied Economic and Social Research (Melbourne Institute,61.0,"Saint Francis Community Services, Inc",5.0,Catherine T. MacArthur Foundation,18
Norwegian Research Council,134.0,VolkswagenStiftung,14.0,University of Glasgow,59.0,St. Jude Children's Research Hospital,5.0,Joya Misra,18
Social Sciences and Humanities Research Council,130.0,NIMHD,14.0,University of Sydney,59.0,Fondazione,5.0,Lee,18
National Institute of Allergy and Infectious Diseases,126.0,CAE 2013,14.0,University of North Carolina,57.0,Deutsche Bank,4.0,Bryan Graham,18
Israel Science Foundation,126.0,NIAAA,13.0,Lund University,57.0,Unilever,4.0,Nour Meddahi,18
ERC,125.0,CEMFI,13.0,University of Southern California,57.0,Global Networks,4.0,Zhu,18
