index,id,txt,GRNB,FUND,IND,UNI,COR,MISC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,9079,This work was partially financed by the Estonian Ministry of Education and Research (grant SF0180005s10) and by the Estonian Science Foundation (grant 8747).,8747;SF0180005s10,Estonian Science Foundation;Estonian Ministry of Education and Research,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,9079,""The research leading to these results has also received funding from the European Community's Seventh Framework Programme (FP7/2007-2013) under Grant Agreement No. 266445 for the project Vectors of Change in Oceans and Seas Marine Life, Impact on Economic Sectors (VECTORS)."",266445,European Community's Seventh Framework Programme (FP7/2007-2013),,,,""Vectors of Change in Oceans and Seas Marine Life, Impact on Economic Sectors (VECTORS)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,9079,""The study has been supported by the project on """"The status of marine biodiversity and its potential futures in the Estonian coastal sea"""" no 3.2.0802.11-0029 of Environmental protection and - technology programme of European Regional Fund."",3.2.0802.11-0029,European Regional Fund,,,,The status of marine biodiversity and its potential futures in the Estonian coastal sea";Environmental protection and - technology programme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,20410,Support for this work was provided in part by the National Institute of Mental Health (R01 MH071589 to LP.) and a fellowship of the Japan Society for the Promotion of Science (to TY).,R01 MH071589,National Institute of Mental Health;Japan Society for the Promotion of Science ,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,20410,We thank Dr. Steven Most for sharing pictures from his previous study.,,,Steven Most,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,20410,We also thank Brenton McMenamin and Jong Moon Choi for discussions of this work.,,,Brenton McMenamin;Jong Moon Choi,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"6,22450,""This work was supported by the US Department of Commerce, National Institute of Standards and Technology (award 70NANB17H188), and US NSF (awards 1455815, 1647189 and 1663761)."",1663761";1647189;70NANB17H188;1455815,US NSF;US Department of Commerce;National Institute of Standards and Technology,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,22825,The authors would like to express gratitude for the research funding provided by the Ministry of Science and Technology in Taiwan (MOST 100-2410-H-110-002).,MOST 100-2410-H-110-002,Ministry of Science and Technology in Taiwan,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,85717,The authors wish to thank anonymous reviewers for their valuable suggestions and comments.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,85717,This research is supported by the National Natural Science Foundation of China (Grant No. 51478085).,51478085,National Natural Science Foundation of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"10,86089,""This study was supported by the National Natural Sciences Foundation of China under Grants 71673198, 71431005, 71690243 and 71561137003, the """"Clean Energy Systems"""" training programme supported by the China Scholarship Council (CSC) under Grant [2017]5047, the National Social Science Foundation of China under Grant 17BGL072 and Tianjin 131 Innovative Talent Cultivation Program."",71431005";17BGL072;71690243;71673198;71561137003;[2017]5047,National Natural Sciences Foundation of China;National Social Science Foundation of China;China Scholarship Council (CSC);Tianjin 131 Innovative Talent Cultivation Program,,,,Clean Energy Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11,86393,""The research and this publication were made possible by Grant Numbers U54HL090513 and R01HL114404 from the National Institutes of Health (NIH), National Heart, Lung, and Blood Institute (NHLBI)."",R01HL114404";"U54HL090513,""National Institutes of Health (NIH)";National Heart, Lung, and Blood Institute (NHLBI);NIH;"NHLBI"",,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12,86393,Its contents are solely the responsibility of the authors and do not necessarily represent the official views of the NIH or NHLBI.,,NIH;NHLBI,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13,86393,The final peer-reviewed manuscript is subject to the National Institutes of Health Public Access Policy.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14,86393,We extend special thanks to the Lay Advisory Board members who guided the development of the CHOICES intervention and all the study participants who showed extraordinary commitment to increasing knowledge about sickle cell conditions.,,,,,,Lay Advisory Board;CHOICES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"15,102982,""We are grateful to Sam McClatchie and Norbert Rohlf for providing data and insight for the analysis of the CalCOFI sardine egg data, and the North Sea herring larval data, respectively."",,,Sam McClatchie";Norbert Rohlf,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
