text,abbreviation,full
Agency for Science Technology  Research,A*STAR,Agency for Science Technology  Research (A*STAR)
American Association for the Advancement of Science,AAAS,American Association for the Advancement of Science (AAAS)
Arthritis Alliance of Canada,AAC,Arthritis Alliance of Canada (AAC)
American Association for Cancer Research,AACR,American Association for Cancer Research (AACR)
American Association of Diabetes Educators,AADE,American Association of Diabetes Educators (AADE)
Agricultural  Applied Economics Association,AAEA,Agricultural  Applied Economics Association (AAEA)
American Academy of Audiology Foundation,AAF,American Academy of Audiology Foundation (AAF)
AgriFood Canada,AAFC,Agriculture and Agri-Food Canada (AAFC)
Agriculture and AgriFood Canada,AAFC,Agriculture and Agri-Food Canada (AAFC)
Program of Agriculture and AgriFood Canada,AAFC,Agriculture and Agri-Food Canada (AAFC)
 Adaptation of Agriculture and Forests to Climate Change,AAFCC, Adaptation of Agriculture and Forests to Climate Change (AAFCC)
Australia Awards Indonesia,AAI,Australia Awards Indonesia (AAI)
Ambient Assisted Living,AAL,Ambient Assisted Living (AAL)
American Association for Marriage and Family Therapy,AAMFT,American Association for Marriage and Family Therapy (AAMFT)
Agence des Aires Marine Protegees,AAMP,Agence des Aires Marine Protegees (AAMP)
Aboriginal Affairs and Northern Development Canada,AANDC,Aboriginal Affairs and Northern Development Canada (AANDC)
Association of American Railroads,AAR,Association of American Railroads (AAR)
Australian Agricultural and Resource Economics Society,AARES,Australian Agricultural and Resource Economics Society (AARES)
Association for the Advancement of Sustainability in Higher Education,AASHE,Association for the Advancement of Sustainability in Higher Education (AASHE)
American Association of State Highway and Transportation Officials,AASHTO,American Association of State Highway and Transportation Officials (AASHTO)
Advanced Autonomous Waterborne Application Initiative,AAWA,Advanced Autonomous Waterborne Application Initiative (AAWA)
American Association of Wine Economists,AAWE,American Association of Wine Economists (AAWE)
Australian Bureau of Agricultural and Resource Economics and Sciences,ABARES,Australian Bureau of Agricultural and Resource Economics and Sciences (ABARES)
Autonomous Benthic Explorer,ABE,Autonomous Benthic Explorer (ABE)
Asian Bureau of Finance and Economic Research,ABFER,Asian Bureau of Finance and Economic Research (ABFER)
Association of the British Pharmaceutical Industry,ABPI,Association of the British Pharmaceutical Industry (ABPI)
Australian Baseline Sea Level Monitoring Project,ABSLMP,Australian Baseline Sea Level Monitoring Project (ABSLMP)
Accion Ciudadana,AC,Accion Ciudadana (AC)
Asian Centre for Branding and Marketing,ACBM,Asian Centre for Branding and Marketing (ACBM)
Association of Chartered Certified Accountants,ACCA,Association of Chartered Certified Accountants (ACCA)
Africa Climate Change Adaptation Initiative,ACCAI,Africa Climate Change Adaptation Initiative (ACCAI)
Australian Communications Consumer Action Network,ACCAN,Australian Communications Consumer Action Network (ACCAN)
Australian Climate Change Adaptation Research Network for Settlements and Infrastructure,ACCARNSI,Australian Climate Change Adaptation Research Network for Settlements and Infrastructure (ACCARNSI)
Aquatic Climate Change Adaptation Service Program,ACCASP,Aquatic Climate Change Adaptation Services Program (ACCASP)
Fisheries and Oceans Canada Aquatic Climate Change Adaptation Services Program,ACCASP,Aquatic Climate Change Adaptation Services Program (ACCASP)
Adapting to the Challenges of a Changing Environment Doctoral Training Partnership,ACCE DTP,Adapting to the Challenges of a Changing Environment Doctoral Training Partnership (ACCE DTP)
Arab Community Center for Economic and Social Services,ACCESS,Arab Community Center for Economic and Social Services (ACCESS)
Africa Climate Change Adaptation Initiative,ACCI,Africa Climate Change Adaptation Initiative (ACCI)
AustraliaChina Centre for Maritime Engineering,ACCME,AustraliaChina Centre for Maritime Engineering (ACCME)
Adenoid Cystic Carcinoma Research Foundation,ACCRF,Adenoid Cystic Carcinoma Research Foundation (ACCRF)
African Climate  Development Initiative,ACDI,African Climate  Development Initiative (ACDI)
Animal Care and Ethics Committee,ACEC,Animal Care and Ethics Committee (ACEC)
African Coelacanth Ecosystem Programme,ACEP,African Coelacanth Ecosystem Programme (ACEP)
 Administration for Children and Families,ACF, Administration for Children and Families (ACF)
Atlantic Coastal Fisheries Cooperative Management Act,ACFCMA,Atlantic Coastal Fisheries Cooperative Management Act (ACFCMA)
Australian Centre for Field Robotics,ACFR,Australian Centre for Field Robotics (ACFR)
Aged Care Housing,ACH,Aged Care Housing (ACH)
Alabama Council on Higher Education,ACHE,Alabama Council on Higher Education (ACHE)
Automotive Collaborative Innovation Center,ACIC,Automotive Collaborative Innovation Center (ACIC)
Agencia Canaria de Investigacion Innovacion y Sociedad de la Informacion,ACIISI,Canarian Agency for Research Innovation and Information Society (ACIISI)
Canarian Agency for Research Innovation and Information Society,ACIISI,Canarian Agency for Research Innovation and Information Society (ACIISI)
Agencia Canaria de Investigacion Innovacion y Sociedad de la Informacion de la Consejeria de Economia Industria Comercio y Conocimiento,ACIISI,Canarian Agency for Research Innovation and Information Society (ACIISI)
Centre for Applied Computing and Interactive Media,ACIM,Centre for Applied Computing and Interactive Media (ACIM)
Amsterdam Center for Law  Economics,ACLE,Amsterdam Center for Law  Economics (ACLE)
American Council of Learned Societies,ACLS,American Council of Learned Societies (ACLS)
Authority for Consumers and Markets,ACM,Authority for Consumers and Markets (ACM)
Atlantic Canada Opportunities Agency,ACOA,Atlantic Canada Opportunities Agency (ACOA)
Arctic Cetaceans and Ocean Noise,ACON,Arctic Cetaceans and Ocean Noise (ACON)
Australian Council of Social Service,ACOSS,Australian Council of Social Service (ACOSS)
ASTAR Computational Resource Centre Singapore,ACRC,ASTAR Computational Resource Centre Singapore (ACRC)
Aquaculture Collaborative Research and Development Program,ACRDP,Aquaculture Collaborative Research and Development Program (ACRDP)
Department of Fisheries and Oceans Aquaculture Collaborative Research and Development Program,ACRDP,Aquaculture Collaborative Research and Development Program (ACRDP)
Australian Consortium for Research in Employment  Work,ACREW,Australian Consortium for Research in Employment  Work (ACREW)
Australian Centre for Research in Employment and Work,ACREW,Australian Consortium for Research in Employment  Work (ACREW)
Academic Research Fund,AcRF,Academic Research Fund (AcRF)
Aged and Community Services Australia,ACSA,Aged and Community Services Australia (ACSA)
David R Atkinson Center for a Sustainable Future,ACSF,David R Atkinson Center for a Sustainable Future (ACSF)
North Atlantic Climate System Integrated Study,ACSIS,North Atlantic Climate System Integrated Study (ACSIS)
Arctic Climate System Study,ACSYS,Arctic Climate System Study (ACSYS)
African Centre for Technology Studies,ACTS,African Centre for Technology Studies (ACTS)
Austrian Development Agency,ADA,Austrian Development Agency (ADA)
Allgemeiner Deutscher AutomobilClub,ADAC,General German Automobile Association (ADAC)
General German Automobile Association,ADAC,General German Automobile Association (ADAC)
Alberta Doctoral Awards for Chinese Students,ADACS,Alberta Doctoral Awards for Chinese Students (ADACS)
Association of Directors of Adult Social Services,ADASS,Association of Directors of Adult Social Services (ADASS)
Asian Development Bank Institute,ADBI,Asian Development Bank Institute (ADBI)
Austrian Development Cooperation,ADC,Austrian Development Cooperation (ADC)
Agency for Defense Development,ADD,Agency for Defense Development (ADD)
African Doctoral Dissertation Research Fellowship,ADDRF,African Doctoral Dissertation Research Fellowship (ADDRF)
French Environment and Energy Management Agency,ADEME,French Environment and Energy Management Agency (ADEME)
French Agency for the Environment,ADEME,French Environment and Energy Management Agency (ADEME)
French Agency for the Environment and the Energy,ADEME,French Environment and Energy Management Agency (ADEME)
Agence de lEnvironnement et de la Maitrise de lEnergie,ADEME,French Environment and Energy Management Agency (ADEME)
Agency for the Environment and Energy Management,ADEME,French Environment and Energy Management Agency (ADEME)
Australian Digital Futures Institute,ADFI,Australian Digital Futures Institute (ADFI)
Asian Dynamics Initiative,ADI,Asian Dynamics Initiative (ADI)
Alzheimers Disease Neuroimaging Initiative,ADNI,Alzheimers Disease Neuroimaging Initiative (ADNI)
Australian Development Research Award,ADRA,Australian Development Research Award (ADRA)
Australian Development Scholarship,ADS,Australian Development Scholarship (ADS)
Agence de lEau AdourGaronne,AEAG,Water Agency Adour-Garonne (AEAG)
French Water Agency,AEAG,Water Agency Adour-Garonne (AEAG)
Antiterrorism Emergency Assistance Program,AEAP,Antiterrorism Emergency Assistance Program (AEAP)
54th Agricultural Economics Association of South Africa,AEASA,54th Agricultural Economics Association of South Africa (AEASA)
Spanish Agency for International Development and Cooperation,AECID,Spanish Agency for International Development and Cooperation (AECID)
Agencia Espanola de Cooperacion Internacional para el Desarrollo,AECID,Spanish Agency for International Development and Cooperation (AECID)
Spanish Agency for International Cooperation for Development,AECID,Spanish Agency for International Development and Cooperation (AECID)
Spanish Agency of International Cooperation,AECID,Spanish Agency for International Development and Cooperation (AECID)
Ministerio Espanol de Asuntos Exteriores y Cooperacion,AECID,Spanish Agency for International Development and Cooperation (AECID)
American Education Finance and Policy Association,AEFP,American Education Finance and Policy Association (AEFP)
