text,abbreviation,full
UC Berkeley,UCB,"University of California, Berkeley (UCB)"
Massachusetts Institute of Technology,MIT,Massachusetts Institute of Technology (MIT)
"University of California, Berkeley",UCB,"University of California, Berkeley (UCB)"
"University of California, Los Angeles",UCLA,"University of California, Los Angeles (UCLA)"
Swiss Federal Institute of Technology in Zürich,ETH Zurich,Swiss Federal Institute of Technology in Zürich (ETH Zurich)
Eidgenossische Technische Hochschule Zurich,ETH Zurich,Swiss Federal Institute of Technology in Zürich (ETH Zurich)
Katholieke Universiteit Leuven,KU Leuven,Katholieke Universiteit Leuven (KU Leuven)
Oxford,,Oxford University
Oxford University,,Oxford University
Oxford University (UK),,Oxford University
"University of Oxford, Oxford, UK",,Oxford University
University of Oxford,,Oxford University
Princeton University,,Princeton University
Princeton,,Princeton University
"Princeton, NJ",,Princeton University
"Princeton, USA",,Princeton University
"Princeton University, New Jersey",,Princeton University
Princeton Universities,,Princeton University
"Princeton University, Princeton",,Princeton University
Aryabhatta Knowledge University,AKU,Aryabhatta Knowledge University (AKU)
Stanford,,Stanford University
Stanford U.,,Stanford University
"Stanford University, California",,Stanford University
"Stanford University, USA",,Stanford University
Stanford University,,Stanford University
Yale,,Yale University
"Yale University (CT, USA",,Yale University
Yale University,,Yale University
Harvard,,Harvard University
MIT/Harvard,,Harvard-MIT Health Sciences and Technology
Harvard/MIT,,Harvard-MIT Health Sciences and Technology
Harvard T,,Harvard University
"Harvard University, Cambridge",,Harvard University
Universities of Harvard,,Harvard University
Harvard University,,Harvard University
New York University,NYU,New York University (NYU)
Columbia,,Columbia University of New York
Harvard-MIT Health Sciences and Technology,,Harvard-MIT Health Sciences and Technology
Columbia University,,Columbia University of New York
"Columbia University (CU), New York",,Columbia University of New York
Columbia University of New York,,Columbia University of New York
Columbia U,,Columbia University of New York
"Columbia University, NYC",,Columbia University of New York
Berkeley,UCB,"University of California, Berkeley (UCB)"
University College London,UCL,University College London (UCL)
UC Davis,UCD,"University of California, Davis (UCD)"
Davis,UCD,"University of California, Davis (UCD)"
"University of California, Davis ",UCD,"University of California, Davis (UCD)"
Duke,,Duke University
Duke University,,Duke University
Cambridge,,Cambridge University
Cambridge University,,Cambridge University
University of Cambridge,,Cambridge University
UC Irvine,UCI,"University of California, Irvine (UCI)"
Irvine,UCI,"University of California, Irvine (UCI)"
"University of California, Irvine",UCI,"University of California, Irvine (UCI)"
Cornell,,Cornell University
Norwegian University of Science and Technology,NTNU,Norwegian University of Science and Technology (NTNU)
Southern Cal,USC,University of Southern California (USC) 
,SC,University of Southern California (USC) 
