id,txt,GRNB,FUND,IND,UNI,COR,MISC
12360061,This work was supported by the Russian Science Foundation [grant number 14-15-00128].,14-15-00128,Russian Science Foundation,,,,
8548820,"This work was supported in part by the Singapore MOE Tier 1 under Grant 2017-T1-002-007RG122/17, and in part by the Singapore MOE Tier 2 under Grant MOE2014-T2-2-015 ARC4/15 and Grant NRF2015-NRF-ISF001-2277.",2017-T1-002-007RG122/17;NRF2015-NRF-ISF001-2277;MOE2014-T2-2-015 ARC4/15,Singapore MOE Tier 1;Singapore MOE Tier 2,,,,
6364543,"E.F.-P. was supported by the Spanish Ministry of Science and Innovation (PSI 2011-28638 and PSI 2011-23818), 'Programa Campus Iberus de Excelencia Internacional' and Carlos III Health Institute, Centro de Investigacion Biomedica en Red de Salud Mental (CIBERSAM).",PSI 2011-23818;PSI 2011-28638,Spanish Ministry of Science and Innovation;Centro de Investigacion Biomedica en Red de Salud Mental (CIBERSAM),,Carlos III Health Institute,,Programa Campus Iberus de Excelencia Internacional
4317582,"This study was funded by the National Institute on Alcohol Abuse and Alcoholism (5R01AA017592-04; Organista, PI) and a grant from UC Berkeley's Health Initiative of the Americas Programa de Investigacion en Migracion y Salud (PIMSA) [Migration and Health Research Program] awarded to Samantha Ngo.",5R01AA017592-04,National Institute on Alcohol Abuse and Alcoholism;UC Berkeley's Health Initiative;Americas Programa de Investigacion en Migracion y Salud (PIMSA),Samantha Ngo,,,Migration and Health Research Program
6364543,This research was also supported by research grants to M.D. from the Swiss National Science Foundation (100014-159440).,100014-159440,Swiss National Science Foundation,,,,
14723301,Research supported by the Natural Science Foundation of China under Grant No. 51475019.,51475019,Natural Science Foundation of China,,,,
1710813,This study was supported by a National Health and Medical Research Council Project Grant APP1025140.,APP1025140,National Health and Medical Research Council,,,,
8077234,This work was supported by the Swedish National Centre for Research in Sports [grant number P2012-0092].,P2012-0092,Swedish National Centre for Research in Sports,,,,
15157700,"This work was supported by a Grant-in-Aid for Health Sciences Research by the Ministry of Health, Labor and Welfare of Japan (Grant Number: H29-Seisaku-Shitei-010) and a KAKENHI Grant-in-Aid for Scientific Research by the Japan Society for the Promotion of Science (Grant Number: JP17H04144).",H29-Seisaku-Shitei-010;JP17H04144,"Ministry of Health, Labor and Welfare of Japan;Grant-in-Aid for Health Sciences Research;KAKENHI Grant-in-Aid for Scientific Research;Japan Society for the Promotion of Science",,,,
9060289,"Universidad Autonoma de Nayarit and the program PFCE, Grant/Award Number: PFCE-2016-182 MSU0019M-04",PFCE-2016-182 MSU0019M-04,PFCE,,Universidad Autonoma de Nayarit,,
2461513,"This research was supported by Institute of Education Sciences Grant R305A120416 to Kelly S. Mix and Susan C. Levine, as well as National Science Foundation Spatial Intelligence Learning Center Grants SBE-1041707 and SBE-0541957 to Susan C. Levine.",R305A120416;SBE-0541957;SBE-1041707,National Science Foundation Spatial Intelligence Learning Center,Kelly S. Mix;Susan C. Levine,Institute of Education Sciences,,
17919423,"Funding for this study was provided by the National Drug Abuse Treatment Clinical Trials Network under the following cooperative agreements, awards, and contracts: U10DA013720, U10DA13720-09S, U10DA020036, U10DA15815, U10DA13034, U10DA013038, U10DA013732, U10DA13036, U10DA13727, U10DA015833, HHSN271200522081C, and HHSN271200522071C.",HHSN271200522081C;U10DA13727;U10DA15815;U10DA13720-09S;U10DA020036;U10DA013720;U10DA013038;U10DA015833;HHSN271200522071C;U10DA13036;U10DA13034;U10DA013732,National Drug Abuse Treatment Clinical Trials Network,,,,
14631497,This research was supported by Research Grants Council (RGC) of Hong Kong under General Research Fund (GRF) [grant number: PolyU 5404/13H].,PolyU 5404/13H,Research Grants Council (RGC) of Hong Kong,,,,
3335884,Julian Wright gratefully acknowledges research funding from the Singapore Ministry of Education Academic Research Fund Tier 1 grant no. R122000215-112.,R122000215-112,Singapore Ministry of Education,Julian Wright,,,
2899723,"This work was supported by training grant T32MH019524 (supports MO), and NIH DC009910, MH091451, HD083217 (supports RMS)",MH091451;HD083217;DC009910,NIH,,,,
6286241,This research was supported in part by grants from the National Science Foundation (BCS 1151209) and the Toyota Collaborative Safety Research Center.,BCS 1151209,National Science Foundation,,,Toyota Collaborative Safety Research Center,
14910223,"This work was supported by National Natural Science Foundation of China (NO. 11601143, 1573003), A Key Project Supported by Scientific Research Fund of Hunan Provincial Education Department (15A038) and NSERC Canada.",11601143;15A038;1573003,National Natural Science Foundation of China;Scientific Research Fund of Hunan Provincial Education Department;NSERC Canada,,,,
12700864,"This research was supported by the Intramural Research Program of the NIMH (protocol 03-M-0035, NCT00049738).",03-M-0035;NCT00049738,Intramural Research Program of the NIMH,,,,
6235274,This work was partially supported by the Army Research Office (#54528LS).,54528LS,Army Research Office,,,,
10960134,"Luigi Minale acknowledges support from the Ministerio Economia y Competitividad (Spain), Maria de Maeztu grant (MDM 2014-0431), Comunidad de Madrid, MadEco-CM (S2015/HUM-3444), and Fundacion Ramon Areces.",S2015/HUM-3444;MDM 2014-0431,MadEco-CM;Ministerio Economia y Competitividad (Spain);Maria de Maeztu grant;Comunidad de Madrid;Fundacion Ramon Areces,,,,
15082264,The authors thank the Mexican National Science and Technology Council (CONACYT) for financial support under Grant 250611.,250611,Mexican National Science and Technology Council (CONACYT),,,,
14353487,This study was also supported by grant 8UL1TR000105 (formerly UL1RR025764) from NCATS/NIH.,8UL1TR000105,NCATS/NIH,,,,
10754922,This work was supported by the NSF of China under Grant 61571299 and Grant 61521062.,61521062;61571299,NSF of China,,,,
6836992,Qi Lin gratefully acknowledges financial support from the National Natural Science Foundation of China (Grant Numbers: 71703142 and 71471161) and the Key Program of the National Natural Science Foundation of China (Grant Number: 71631005).,71703142;71471161;71631005,National Natural Science Foundation of China;Key Program of the National Natural Science Foundation of China,Qi Lin,,,
17074461,This work is partially funded by the European Commission under the Erasmus Mundus E-GOV-TN project (Open Government data in Tunisia for service innovation and transparency) -EMA2; Grant Agreement no. 2013-2434/001-001.,2013-2434/001-001,European Commission under the Erasmus Mundus E-GOV-TN project,,,,Open Government data in Tunisia for service innovation and transparency
7122824,This work was supported by the National Research Foundation of Korea Grant from the Korean Government (NRF-20062005112).,NRF-20062005112,National Research Foundation of Korea Grant;Korean Government,,,,
5723791,"This work was supported by the Fonds Quebecois de la recherche sur la nature et les technologies, the Canadian Institute of Health Research (MOP-97820), and the Natural Science and Engineering Research Council of Canada.",MOP-97820,Canadian Institute of Health Research;Fonds Quebecois de la recherche sur la nature et les technologies;Natural Science and Engineering Research Council of Canada,,,,
18175230,Research carried out using the computational resources of the Center for Mathematical Sciences Applied to Industry (CeMEAI) funded by FAPESP (Grant number: 2013/07375-0).,2013/07375-0,FAPESP;Center for Mathematical Sciences Applied to Industry (CeMEAI),,,,
4641040,This material is based in part upon work supported by the National Science Foundation under Grant Number DUE-0717820.,DUE-0717820,National Science Foundation,,,,
15871235,This study was supported by a Health Labour Sciences Research grant (H27-Seisaku-Shitei-010).,H27-Seisaku-Shitei-010,Health Labour Sciences Research grant,,,,
10813872,"We gratefully acknowledge the Canadian International Resources and Development Institute (CIRDI) (Grant #2014-077), with financial support from Global Affairs Canada, and the UK Economic and Social Research Council (ESRC) for support.",2014-077,Canadian International Resources and Development Institute (CIRDI);Global Affairs Canada;UK Economic and Social Research Council (ESRC),,,,
8214117,This work was supported by the Economic and Social Research Council [R000237061].,R000237061,Economic and Social Research Council,,,,
16424239,"The authors would like to thank the Brazilian National Research Council - CNPq, the Minas Gerais Research Foundation - FAPEMIG (Grants APQ-00567-14 and PPM-00540-17) and the Coordination for the Improvement of Higher Education Personnel - CAPES (DeepEyes Project).",APQ-00567-14;PPM-00540-17,Minas Gerais Research Foundation - FAPEMIG;Brazilian National Research Council - CNPq;Coordination for the Improvement of Higher Education Personnel - CAPES,,,,
2285129,This research was supported by a grant from the National Science Foundation (BCS 0921271) awarded to Stephen A. Erath.,BCS 0921271,National Science Foundation,Stephen A. Erath,,,
1920824,"The work of K. Feng was supported by NSFC under Grant Nos. 11471178, 11571007 and the Tsinghua National Lab. for Information Science and Technology.",11471178;11571007,NSFC;Tsinghua National Lab. for Information Science and Technology,K. Feng,,,
10370264,This work has been supported by the ANR-14-CE25-0006 project of the French National Research Agency.,ANR-14-CE25-0006,French National Research Agency,,,,
15845081,"This study was conducted in the Scientific Research Computing Center of the Moscow State University and largely supported by the Russian Foundation for Basic Research, project no. 17-17-01210.",17-17-01210,Russian Foundation for Basic Research,,Moscow State University,,
8793316,This work is supported in part by National Natural Science Foundation of China under Grants 61573278.,61573278,National Natural Science Foundation of China,,,,
3527383,The research for this article funded by the Key Program of the National Natural Science Foundation of China [NO. 71231003].,71231003,National Natural Science Foundation of China,,,,
15512880,"This work was funded by the Project ""NanoSTIMA: Macro-to Nano Human Sensing: Towards Integrated Multimodal Health Monitoring and Analytics/NORTE-01-0145-FEDER-000016"" financed by the North Portugal Regional Operational Programme (NORTE 2020), under the PORTUGAL 2020 Partnership Agreement, and through the European Regional Development Fund (ERDF), and also by Fundacao para a Ciencia e a Tecnologia (FCT) within Ph.D grant number SFRH/BD/126224/2016.",SFRH/BD/126224/2016;NORTE-01-0145-FEDER-000016,Fundacao para a Ciencia e a Tecnologia (FCT);North Portugal Regional Operational Programme (NORTE 2020);PORTUGAL 2020 Partnership Agreement;European Regional Development Fund (ERDF),,,,
8234068,This paper is a partial result of the project GBraille supported by CNPq (MCT/CNPq 14/2013 - Universal) under grant number 484255/2013-4.,484255/2013-4;MCT/CNPq 14/2013,CNPq;GBraille,,,,GBraille
